,Symbol,Year,Month,Day,Open,High,Low,Close,Volume,Date,Good_Time_Prices_Low,Good_Time_Prices_will_increase,Good_Time_Interest_rates_low,Good_Time_Rising_interest_rates,Good_Time_Times_good,Good_Time_Fuel_Efficiency,Bad_Time_Prices_High,Bad_Time_Interest_rates_high,Bad_Time_Cannot_Afford,Bad_Time_Uncertain_Future,Bad_Time_Gas_Prices,Bad_Time_Poor_Selection,Relative_prices,Relative_rates
4073,TM,2009,3,30,60.21,60.35,58.538999999999994,59.03,1075637,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4074,TM,2009,3,31,60.48,60.48,58.668,58.81800000000001,1270578,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4075,TTM,2009,3,2,3.3469,3.3469,2.9164,3.0026,1181238,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4076,TTM,2009,3,3,3.0311,3.2607,3.0311,3.1078,703945,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4077,TTM,2009,3,4,3.2416,3.4138,3.2033,3.4138,483677,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4078,TTM,2009,3,5,3.2511,3.385,3.1269,3.2511,702264,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4079,TTM,2009,3,6,3.3659,3.3659,3.0982,3.2799,633664,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4080,TTM,2009,3,9,3.299,3.4425,3.0695,3.0695,494868,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4081,TTM,2009,3,10,3.2511,3.4616,3.2224,3.4425,710597,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4082,TTM,2009,3,11,3.4328,3.5762,3.3469,3.3469,692108,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
