Date,Good time to Buy,Uncertain,Bad time to Buy,Relative
2007-09-30,67.0,5.0,28.0,139.0
2007-08-31,63.0,7.0,30.0,133.0
2007-07-31,60.0,5.0,35.0,125.0
2007-06-30,55.0,8.0,37.0,118.0
2007-05-31,58.0,8.0,34.0,124.0
2007-04-30,63.0,6.0,31.0,132.0
2007-03-31,65.0,8.0,27.0,138.0
2007-02-28,63.0,7.0,30.0,133.0
2007-01-31,64.0,8.0,28.0,136.0
2006-12-31,66.0,8.0,26.0,140.0
2006-11-30,67.0,6.0,27.0,140.0
2006-10-31,66.0,5.0,29.0,137.0
2006-09-30,61.0,6.0,33.0,128.0
2006-08-31,60.0,4.0,36.0,124.0
2006-07-31,61.0,8.0,31.0,130.0
2006-06-30,60.0,4.0,36.0,124.0
2006-05-31,53.0,6.0,41.0,112.0
2006-04-30,63.0,6.0,31.0,132.0
2006-03-31,66.0,6.0,28.0,138.0
2006-02-28,64.0,6.0,30.0,134.0
2006-01-31,64.0,9.0,27.0,137.0
2005-12-31,64.0,7.0,29.0,135.0
2005-11-30,60.0,5.0,35.0,125.0
2005-10-31,54.0,11.0,35.0,119.0
2005-09-30,59.0,7.0,34.0,125.0
2005-08-31,70.0,7.0,23.0,147.0
2005-07-31,74.0,4.0,22.0,152.0
2005-06-30,65.0,9.0,26.0,139.0
2005-05-31,61.0,11.0,28.0,133.0
2005-04-30,59.0,10.0,31.0,128.0
2005-03-31,59.0,12.0,29.0,130.0
2005-02-28,67.0,10.0,23.0,144.0
2005-01-31,69.0,9.0,22.0,147.0
2004-12-31,71.0,12.0,17.0,154.0
2004-11-30,64.0,10.0,26.0,138.0
2004-10-31,72.0,8.0,20.0,152.0
2004-09-30,70.0,8.0,22.0,148.0
2004-08-31,67.0,10.0,23.0,144.0
2004-07-31,67.0,8.0,25.0,142.0
2004-06-30,69.0,6.0,25.0,144.0
2004-05-31,67.0,10.0,23.0,144.0
2004-04-30,70.0,7.0,23.0,147.0
2004-03-31,72.0,9.0,19.0,153.0
2004-02-29,69.0,12.0,19.0,150.0
2004-01-31,78.0,5.0,17.0,161.0
2003-12-31,75.0,7.0,18.0,157.0
2003-11-30,76.0,9.0,15.0,161.0
2003-10-31,73.0,9.0,18.0,155.0
2003-09-30,72.0,8.0,20.0,152.0
2003-08-31,71.0,8.0,21.0,150.0
2003-07-31,76.0,8.0,16.0,160.0
2003-06-30,74.0,9.0,17.0,157.0
2003-05-31,76.0,8.0,16.0,160.0
2003-04-30,68.0,13.0,19.0,149.0
2003-03-31,67.0,7.0,26.0,141.0
2003-02-28,64.0,12.0,24.0,140.0
2003-01-31,71.0,10.0,19.0,152.0
2002-12-31,71.0,13.0,16.0,155.0
2002-11-30,70.0,13.0,17.0,153.0
2002-10-31,71.0,14.0,15.0,156.0
2002-09-30,74.0,10.0,16.0,158.0
2002-08-31,70.0,12.0,18.0,152.0
2002-07-31,72.0,11.0,17.0,155.0
2002-06-30,65.0,19.0,16.0,149.0
2002-05-31,69.0,13.0,18.0,151.0
2002-04-30,65.0,18.0,17.0,148.0
2002-03-31,67.0,15.0,18.0,149.0
2002-02-28,73.0,10.0,17.0,156.0
2002-01-31,71.0,14.0,15.0,156.0
2001-12-31,76.0,11.0,13.0,163.0
2001-11-30,79.0,6.0,15.0,164.0
2001-10-31,71.0,10.0,19.0,152.0
2001-09-30,60.0,13.0,27.0,133.0
2001-08-31,58.0,16.0,26.0,132.0
2001-07-31,61.0,16.0,23.0,138.0
2001-06-30,56.0,15.0,29.0,127.0
2001-05-31,59.0,15.0,26.0,133.0
2001-04-30,59.0,11.0,30.0,129.0
2001-03-31,67.0,12.0,21.0,146.0
2001-02-28,64.0,9.0,27.0,137.0
2001-01-31,60.0,13.0,27.0,133.0
2000-12-31,66.0,14.0,20.0,146.0
2000-11-30,68.0,13.0,19.0,149.0
2000-10-31,67.0,10.0,23.0,144.0
2000-09-30,67.0,11.0,22.0,145.0
2000-08-31,68.0,11.0,21.0,147.0
2000-07-31,65.0,11.0,24.0,141.0
2000-06-30,62.0,14.0,24.0,138.0
2000-05-31,66.0,13.0,21.0,145.0
2000-04-30,69.0,10.0,21.0,148.0
2000-03-31,62.0,10.0,28.0,134.0
2000-02-29,70.0,13.0,17.0,153.0
2000-01-31,65.0,14.0,21.0,144.0
1999-12-31,63.0,15.0,22.0,141.0
1999-11-30,68.0,12.0,20.0,148.0
1999-10-31,67.0,12.0,21.0,146.0
1999-09-30,67.0,11.0,22.0,145.0
1999-08-31,69.0,10.0,21.0,148.0
1999-07-31,71.0,11.0,18.0,153.0
1999-06-30,70.0,10.0,20.0,150.0
1999-05-31,70.0,11.0,19.0,151.0
1999-04-30,68.0,14.0,18.0,150.0
1999-03-31,70.0,12.0,18.0,152.0
1999-02-28,69.0,15.0,16.0,153.0
1999-01-31,73.0,11.0,16.0,157.0
1998-12-31,70.0,11.0,19.0,151.0
1998-11-30,72.0,11.0,17.0,155.0
1998-10-31,69.0,15.0,16.0,153.0
1998-09-30,63.0,16.0,21.0,142.0
1998-08-31,66.0,18.0,16.0,150.0
1998-07-31,62.0,15.0,23.0,139.0
1998-06-30,69.0,14.0,17.0,152.0
1998-05-31,68.0,12.0,20.0,148.0
1998-04-30,65.0,15.0,20.0,145.0
1998-03-31,65.0,16.0,19.0,146.0
1998-02-28,68.0,13.0,19.0,149.0
1998-01-31,65.0,15.0,20.0,145.0
1997-12-31,62.0,11.0,27.0,135.0
1997-11-30,66.0,8.0,26.0,140.0
1997-10-31,64.0,13.0,23.0,141.0
1997-09-30,67.0,9.0,24.0,143.0
1997-08-31,63.0,13.0,24.0,139.0
1997-07-31,63.0,10.0,27.0,136.0
1997-06-30,74.0,6.0,20.0,154.0
1997-05-31,71.0,8.0,21.0,150.0
1997-04-30,63.0,10.0,27.0,136.0
1997-03-31,64.0,7.0,29.0,135.0
1997-02-28,61.0,8.0,31.0,130.0
1997-01-31,65.0,11.0,24.0,141.0
1996-12-31,63.0,8.0,29.0,134.0
1996-11-30,63.0,9.0,28.0,135.0
1996-10-31,62.0,8.0,30.0,132.0
1996-09-30,63.0,8.0,29.0,134.0
1996-08-31,66.0,7.0,27.0,139.0
1996-07-31,66.0,6.0,28.0,138.0
1996-06-30,64.0,9.0,27.0,137.0
1996-05-31,59.0,9.0,32.0,127.0
1996-04-30,57.0,11.0,32.0,125.0
1996-03-31,63.0,8.0,29.0,134.0
1996-02-29,61.0,7.0,32.0,129.0
1996-01-31,58.0,6.0,36.0,122.0
1995-12-31,62.0,9.0,29.0,133.0
1995-11-30,59.0,12.0,29.0,130.0
1995-10-31,57.0,11.0,32.0,125.0
1995-09-30,64.0,7.0,29.0,135.0
1995-08-31,61.0,7.0,32.0,129.0
1995-07-31,68.0,5.0,27.0,141.0
1995-06-30,61.0,9.0,30.0,131.0
1995-05-31,61.0,7.0,32.0,129.0
1995-04-30,57.0,9.0,34.0,123.0
1995-03-31,64.0,8.0,28.0,136.0
1995-02-28,60.0,9.0,31.0,129.0
1995-01-31,67.0,5.0,28.0,139.0
1994-12-31,62.0,10.0,28.0,134.0
1994-11-30,64.0,9.0,27.0,137.0
1994-10-31,66.0,6.0,28.0,138.0
1994-09-30,68.0,8.0,24.0,144.0
1994-08-31,67.0,9.0,24.0,143.0
1994-07-31,68.0,7.0,25.0,143.0
1994-06-30,68.0,8.0,24.0,144.0
1994-05-31,67.0,9.0,24.0,143.0
1994-04-30,71.0,8.0,21.0,150.0
1994-03-31,70.0,7.0,23.0,147.0
1994-02-28,73.0,9.0,18.0,155.0
1994-01-31,70.0,8.0,22.0,148.0
1993-12-31,68.0,8.0,24.0,144.0
1993-11-30,65.0,9.0,26.0,139.0
1993-10-31,63.0,6.0,31.0,132.0
1993-09-30,63.0,8.0,29.0,134.0
1993-08-31,64.0,10.0,26.0,138.0
1993-07-31,67.0,7.0,26.0,141.0
1993-06-30,67.0,6.0,27.0,140.0
1993-05-31,65.0,10.0,25.0,140.0
1993-04-30,64.0,9.0,27.0,137.0
1993-03-31,64.0,8.0,28.0,136.0
1993-02-28,61.0,10.0,29.0,132.0
1993-01-31,63.0,8.0,29.0,134.0
1992-12-31,69.0,7.0,24.0,145.0
1992-11-30,63.0,8.0,29.0,134.0
1992-10-31,56.0,9.0,35.0,121.0
1992-09-30,62.0,6.0,32.0,130.0
1992-08-31,62.0,5.0,33.0,129.0
1992-07-31,62.0,4.0,34.0,128.0
1992-06-30,68.0,8.0,24.0,144.0
1992-05-31,64.0,7.0,29.0,135.0
1992-04-30,63.0,5.0,32.0,131.0
